sequencing_library	sample
LIB_3	FAt1ns
LIB_3_1	FAt2ns
LIB_3_2	FAt3ns
LIB_3_3	FAt4ns
LIB_3_4	FAt5ns
LIB_3_5	FAt6ns
LIB_3_6	FAt7ns
LIB_3_7	FAt8ns
LIB_3_8	FAt9ns
LIB_3_9	FAt10ns
LIB_3_10	FAt1s
LIB_3_11	FAt2s
LIB_3_12	FAt3s
LIB_3_13	FAt4s
LIB_3_14	FAt5s
LIB_3_15	FAt6s
LIB_3_16	FAt7s
LIB_3_17	FAt8s
LIB_3_18	FAt9s
LIB_3_19	FAt10s
LIB_3_20	FCh1ns
LIB_3_21	FCh2ns
LIB_3_22	FCh3ns
LIB_3_23	FDv1ns
LIB_3_24	FDv2ns
LIB_3_25	FDv3ns
LIB_3_26	FCh1s
LIB_3_27	FCh2s
LIB_3_28	FCh3s
LIB_3_29	FDv2s
LIB_3_30	FDv4s
LIB_3_31	FDv5s
LIB_3_32	AAt1ns
LIB_3_33	AAt2ns
LIB_3_34	AAt3ns
LIB_3_35	AAt4ns
LIB_3_36	AAt5ns
LIB_3_37	AAt6ns
LIB_3_38	AAt7ns
LIB_3_39	AAt8ns
LIB_3_40	AAt9ns
LIB_3_41	AAt10ns
LIB_3_42	AAt1s
LIB_3_43	AAt2s
LIB_3_44	AAt3s
LIB_3_45	AAt4s
LIB_3_46	AAt5s
LIB_3_47	AAt6s
LIB_3_48	AAt7s
LIB_3_49	AAt8s
LIB_3_50	AAt9s
LIB_3_51	AAt10s
LIB_3_52	ACh1ns
LIB_3_53	ACh2ns
LIB_3_54	ACh3ns
LIB_3_55	ADv1ns
LIB_3_56	ADv2ns
LIB_3_57	ADv3ns
LIB_3_58	ACh1s
LIB_3_59	ACh2s
LIB_3_60	ACh3s
LIB_3_61	ADv1s
LIB_3_62	ADv2s
LIB_3_63	ADv3s
LIB_3_64	H2O
LIB_3_65	FAt1w
LIB_3_66	FAt3w
LIB_3_67	FAt5w
LIB_3_68	FAt7w
LIB_3_69	FAt9w
LIB_3_70	FAt1b
LIB_3_71	FAt3b
LIB_3_72	FAt2a
LIB_3_73	FAt2w
LIB_3_74	FAt4w
LIB_3_75	FAt6w
LIB_3_76	FAt8w
LIB_3_77	FAt10w
LIB_3_78	FAt2b
LIB_3_79	FAt1a
LIB_3_80	FAt3a
LIB_3_81	FCh1w
LIB_3_82	FCh3w
LIB_3_83	FCh2b
LIB_3_84	FCh1a
LIB_3_85	FCh3a
LIB_3_86	FDv4w
LIB_3_87	FDv2b
LIB_3_88	FDv5b
LIB_3_89	FCh2w
LIB_3_90	FCh1b
LIB_3_91	FCh3b
LIB_3_92	FCh2a
LIB_3_93	FDv2w
LIB_3_94	FDv5w
LIB_3_95	FDv4b
LIB_3_96	H2O_1
LIB_3_97	FDv4a
LIB_3_98	AAt1w
LIB_3_99	AAt3w
LIB_3_100	AAt5w
LIB_3_101	AAt7w
LIB_3_102	AAt9w
LIB_3_103	AAt1b
LIB_3_104	AAt3b
LIB_3_105	FDv5a
LIB_3_106	AAt2w
LIB_3_107	AAt4w
LIB_3_108	AAt6w
LIB_3_109	AAt8w
LIB_3_110	AAt10w
LIB_3_111	AAt2b
LIB_3_112	AAt1a
LIB_3_113	AAt2a
LIB_3_114	ACh1w
LIB_3_115	ACh3w
LIB_3_116	ACh2b
LIB_3_117	ACh1a
LIB_3_118	ACh3a
LIB_3_119	ADv2w
LIB_3_120	ADv1b
LIB_3_121	AAt3a
LIB_3_122	ACh2w
LIB_3_123	ACh1b
LIB_3_124	ACh3b
LIB_3_125	ACh2a
LIB_3_126	ADv1w
LIB_3_127	ADv3w
LIB_3_128	ADv2b
LIB_3_129	ADv3b
LIB_3_130	ADv2a
LIB_3_131	ADv1a
LIB_3_132	ADv3a
LIB_3_133	FDv2a
LIB_3_134	H2O_2
