;sample;sample2;date;species;sp_code;replicate;compartment
AAt10ns;AAtro;Atro;April;Arabidopsis thaliana;At;10;root
AAt10s;AAten;Aten;April;Arabidopsis thaliana;At;10;endosphere
AAt10w;AAtrh;Atrh;April;Arabidopsis thaliana;At;10;rhizosphere
AAt1a;AAtba;Atba;April;Arabidopsis thaliana;At;1;bare_soil
AAt1b;AAtrs;Atrs;April;Arabidopsis thaliana;At;1;root_soil
AAt1ns;AAtro;Atro;April;Arabidopsis thaliana;At;1;root
AAt1s;AAten;Aten;April;Arabidopsis thaliana;At;1;endosphere
AAt1w;AAtrh;Atrh;April;Arabidopsis thaliana;At;1;rhizosphere
AAt2a;AAtba;Atba;April;Arabidopsis thaliana;At;2;bare_soil
AAt2b;AAtrs;Atrs;April;Arabidopsis thaliana;At;2;root_soil
AAt2ns;AAtro;Atro;April;Arabidopsis thaliana;At;2;root
AAt2s;AAten;Aten;April;Arabidopsis thaliana;At;2;endosphere
AAt2w;AAtrh;Atrh;April;Arabidopsis thaliana;At;2;rhizosphere
AAt3a;AAtba;Atba;April;Arabidopsis thaliana;At;3;bare_soil
AAt3b;AAtrs;Atrs;April;Arabidopsis thaliana;At;3;root_soil
AAt3ns;AAtro;Atro;April;Arabidopsis thaliana;At;3;root
AAt3s;AAten;Aten;April;Arabidopsis thaliana;At;3;endosphere
AAt3w;AAtrh;Atrh;April;Arabidopsis thaliana;At;3;rhizosphere
AAt4ns;AAtro;Atro;April;Arabidopsis thaliana;At;4;root
AAt4s;AAten;Aten;April;Arabidopsis thaliana;At;4;endosphere
AAt4w;AAtrh;Atrh;April;Arabidopsis thaliana;At;4;rhizosphere
AAt5ns;AAtro;Atro;April;Arabidopsis thaliana;At;5;root
AAt5s;AAten;Aten;April;Arabidopsis thaliana;At;5;endosphere
AAt5w;AAtrh;Atrh;April;Arabidopsis thaliana;At;5;rhizosphere
AAt6ns;AAtro;Atro;April;Arabidopsis thaliana;At;6;root
AAt6s;AAten;Aten;April;Arabidopsis thaliana;At;6;endosphere
AAt6w;AAtrh;Atrh;April;Arabidopsis thaliana;At;6;rhizosphere
AAt7ns;AAtro;Atro;April;Arabidopsis thaliana;At;7;root
AAt7s;AAten;Aten;April;Arabidopsis thaliana;At;7;endosphere
AAt7w;AAtrh;Atrh;April;Arabidopsis thaliana;At;7;rhizosphere
AAt8ns;AAtro;Atro;April;Arabidopsis thaliana;At;8;root
AAt8s;AAten;Aten;April;Arabidopsis thaliana;At;8;endosphere
AAt8w;AAtrh;Atrh;April;Arabidopsis thaliana;At;8;rhizosphere
AAt9ns;AAtro;Atro;April;Arabidopsis thaliana;At;9;root
AAt9s;AAten;Aten;April;Arabidopsis thaliana;At;9;endosphere
AAt9w;AAtrh;Atrh;April;Arabidopsis thaliana;At;9;rhizosphere
ACh1a;AChba;Chba;April;Cardamine hirsuta;Ch;1;bare_soil
ACh1b;AChrs;Chrs;April;Cardamine hirsuta;Ch;1;root_soil
ACh1ns;AChro;Chro;April;Cardamine hirsuta;Ch;1;root
ACh1s;AChen;Chen;April;Cardamine hirsuta;Ch;1;endosphere
ACh1w;AChrh;Chrh;April;Cardamine hirsuta;Ch;1;rhizosphere
ACh2a;AChba;Chba;April;Cardamine hirsuta;Ch;2;bare_soil
ACh2b;AChrs;Chrs;April;Cardamine hirsuta;Ch;2;root_soil
ACh2ns;AChro;Chro;April;Cardamine hirsuta;Ch;2;root
ACh2s;AChen;Chen;April;Cardamine hirsuta;Ch;2;endosphere
ACh2w;AChrh;Chrh;April;Cardamine hirsuta;Ch;2;rhizosphere
ACh3a;AChba;Chba;April;Cardamine hirsuta;Ch;3;bare_soil
ACh3b;AChrs;Chrs;April;Cardamine hirsuta;Ch;3;root_soil
ACh3ns;AChro;Chro;April;Cardamine hirsuta;Ch;3;root
ACh3s;AChen;Chen;April;Cardamine hirsuta;Ch;3;endosphere
ACh3w;AChrh;Chrh;April;Cardamine hirsuta;Ch;3;rhizosphere
ADv1a;ADvba;Dvba;April;Draba verna;Dv;1;bare_soil
ADv1b;ADvrs;Dvrs;April;Draba verna;Dv;1;root_soil
ADv1ns;ADvro;Dvro;April;Draba verna;Dv;1;root
ADv1s;ADven;Dven;April;Draba verna;Dv;1;endosphere
ADv1w;ADvrh;Dvrh;April;Draba verna;Dv;1;rhizosphere
ADv2a;ADvba;Dvba;April;Draba verna;Dv;2;bare_soil
ADv2b;ADvrs;Dvrs;April;Draba verna;Dv;2;root_soil
ADv2ns;ADvro;Dvro;April;Draba verna;Dv;2;root
ADv2s;ADven;Dven;April;Draba verna;Dv;2;endosphere
ADv2w;ADvrh;Dvrh;April;Draba verna;Dv;2;rhizosphere
ADv3a;ADvba;Dvba;April;Draba verna;Dv;3;bare_soil
ADv3b;ADvrs;Dvrs;April;Draba verna;Dv;3;root_soil
ADv3ns;ADvro;Dvro;April;Draba verna;Dv;3;root
ADv3s;ADven;Dven;April;Draba verna;Dv;3;endosphere
ADv3w;ADvrh;Dvrh;April;Draba verna;Dv;3;rhizosphere
FAt10ns;FAtro;Atro;February;Arabidopsis thaliana;At;10;root
FAt10s;FAten;Aten;February;Arabidopsis thaliana;At;10;endosphere
FAt10w;FAtrh;Atrh;February;Arabidopsis thaliana;At;10;rhizosphere
FAt1a;FAtba;Atba;February;Arabidopsis thaliana;At;1;bare_soil
FAt1b;FAtrs;Atrs;February;Arabidopsis thaliana;At;1;root_soil
FAt1ns;FAtro;Atro;February;Arabidopsis thaliana;At;1;root
FAt1s;FAten;Aten;February;Arabidopsis thaliana;At;1;endosphere
FAt1w;FAtrh;Atrh;February;Arabidopsis thaliana;At;1;rhizosphere
FAt2a;FAtba;Atba;February;Arabidopsis thaliana;At;2;bare_soil
FAt2b;FAtrs;Atrs;February;Arabidopsis thaliana;At;2;root_soil
FAt2ns;FAtro;Atro;February;Arabidopsis thaliana;At;2;root
FAt2s;FAten;Aten;February;Arabidopsis thaliana;At;2;endosphere
