group kingdom phylum class order family genus species
ASV00001 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00002 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium unclassified
ASV00003 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00004 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Endophoma Endophoma_elongata
ASV00005 Fungi Basidiomycota Tremellomycetes Cystofilobasidiales Cystofilobasidiaceae Guehomyces Guehomyces_pullulans
ASV00006 Fungi Olpidiomycota Olpidiomycetes Olpidiales unclassified unclassified unclassified
ASV00007 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_elongata
ASV00008 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_elongata
ASV00009 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Calycina Calycina_ellisii
ASV00010 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae Thanatephorus Thanatephorus_cucumeris
ASV00011 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00012 Fungi Ascomycota Dothideomycetes Pleosporales Phaeosphaeriaceae Paraphoma Paraphoma_sp
ASV00013 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium unclassified
ASV00014 Fungi Ascomycota Dothideomycetes Pleosporales unclassified_Pleosporales unclassified_Pleosporales Pleosporales_sp
ASV00015 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_marchalianum
ASV00016 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Neonectria Neonectria_candida
ASV00017 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Ilyonectria Ilyonectria_macrodidyma
ASV00018 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Calycina unclassified
ASV00019 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae unclassified unclassified
ASV00020 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00021 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00022 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00023 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae unclassified unclassified
ASV00024 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00025 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_elongata
ASV00026 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae Plectosphaerella Plectosphaerella_cucumerina
ASV00027 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_exigua
ASV00028 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Stagonosporopsis unclassified
ASV00029 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae unclassified unclassified
ASV00030 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusicolla Fusicolla_aquaeductuum
ASV00031 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
ASV00032 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Boeremia Boeremia_exigua
ASV00033 Fungi Ascomycota Eurotiomycetes Chaetothyriales unclassified unclassified unclassified
ASV00034 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Arrhenia unclassified
ASV00035 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Cadophora Cadophora_sp
ASV00036 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Didymella unclassified
ASV00037 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00038 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00039 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella unclassified
ASV00040 Fungi Ascomycota Sordariomycetes Sordariales unclassified unclassified unclassified
ASV00041 Fungi Basidiomycota Agaricomycetes Agaricales Psathyrellaceae Coprinellus Coprinellus_sp
ASV00042 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae unclassified unclassified
ASV00043 Fungi Ascomycota Dothideomycetes Pleosporales Torulaceae Dendryphion unclassified
ASV00044 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Funneliformis Funneliformis_mosseae
ASV00045 Fungi Basidiomycota Agaricomycetes unclassified unclassified unclassified unclassified
ASV00046 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_elongata
ASV00047 Fungi Basidiomycota Agaricomycetes Agaricales unclassified unclassified unclassified
ASV00048 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia unclassified
ASV00049 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Cistella Cistella_sp
ASV00050 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusarium Fusarium_solani
ASV00051 Fungi Ascomycota Dothideomycetes Capnodiales Cladosporiaceae Cladosporium Cladosporium_delicatulum
ASV00052 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
ASV00053 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00054 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00055 Fungi Ascomycota Sordariomycetes unclassified unclassified unclassified unclassified
ASV00056 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
ASV00057 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae unclassified_Glomeraceae Glomeraceae_sp
ASV00058 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Gibberella Gibberella_intricans
ASV00059 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00060 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae Thanatephorus Thanatephorus_cucumeris
ASV00061 Fungi Basidiomycota Tremellomycetes Filobasidiales Piskurozymaceae Solicoccozyma Solicoccozyma_aeria
ASV00062 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Bradymyces Bradymyces_sp
ASV00063 Fungi Ascomycota Orbiliomycetes Orbiliales Orbiliales_fam_Incertae_sedis Lecophagus Lecophagus_longisporus
ASV00064 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Mycoarthris Mycoarthris_corallina
ASV00065 Fungi Mortierellomycota Mortierellomycetes Mortierellales unclassified_Mortierellales unclassified_Mortierellales Mortierellales_sp
ASV00066 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Exophiala Exophiala_equina
ASV00067 Fungi Basidiomycota unclassified unclassified unclassified unclassified unclassified
ASV00068 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae Plectosphaerella Plectosphaerella_cucumerina
ASV00069 Fungi Basidiomycota unclassified unclassified unclassified unclassified unclassified
ASV00070 Fungi Ascomycota Dothideomycetes Pleosporales unclassified unclassified unclassified
ASV00071 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00072 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
ASV00073 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Didymella unclassified
ASV00074 Fungi Ascomycota Eurotiomycetes Chaetothyriales unclassified unclassified unclassified
ASV00075 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00076 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00077 Fungi Ascomycota Dothideomycetes Pleosporales Pleomassariaceae Tumularia Tumularia_sp
ASV00078 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00079 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_minutissima
ASV00080 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00081 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Dominikia Dominikia_achra
ASV00082 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia unclassified
ASV00083 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae unclassified unclassified
ASV00084 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00085 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_marchalianum
ASV00086 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Funneliformis Funneliformis_mosseae
ASV00087 Fungi Ascomycota Dothideomycetes Pleosporales unclassified_Pleosporales unclassified_Pleosporales Pleosporales_sp
ASV00088 Fungi Ascomycota Dothideomycetes Pleosporales Arthopyreniaceae Arthopyrenia Arthopyrenia_salicis
ASV00089 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
ASV00090 Fungi Ascomycota Dothideomycetes Tubeufiales Tubeufiaceae unclassified_Tubeufiaceae Tubeufiaceae_sp
ASV00091 Fungi Basidiomycota Agaricomycetes Agaricales Psathyrellaceae Coprinellus unclassified
ASV00092 Fungi Basidiomycota Agaricomycetes Agaricales unclassified unclassified unclassified
ASV00093 Fungi Ascomycota Sordariomycetes unclassified unclassified unclassified unclassified
ASV00094 Fungi Ascomycota Sordariomycetes Sordariales Lasiosphaeriaceae unclassified unclassified
ASV00095 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00096 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_amoeboidea
ASV00097 Fungi Ascomycota Dothideomycetes Pleosporales Morosphaeriaceae Acrocalymma unclassified
ASV00098 Fungi Basidiomycota unclassified unclassified unclassified unclassified unclassified
ASV00099 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae unclassified unclassified
ASV00100 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusarium unclassified
ASV00101 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00102 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Glarea Glarea_sp
ASV00103 Fungi Ascomycota Leotiomycetes Helotiales Rutstroemiaceae unclassified_Rutstroemiaceae Rutstroemiaceae_sp
ASV00104 Fungi Ascomycota Sordariomycetes Myrmecridiales Myrmecridiaceae Myrmecridium unclassified
ASV00105 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae Thanatephorus Thanatephorus_cucumeris
ASV00106 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00107 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Bradymyces Bradymyces_sp
ASV00108 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_sp
ASV00109 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00110 Fungi Ascomycota Sordariomycetes Sordariales Chaetomiaceae unclassified unclassified
ASV00111 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Stagonosporopsis Stagonosporopsis_sp
ASV00112 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_marchalianum
ASV00113 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_fimbricystis
ASV00114 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_sclerotiella
ASV00115 Fungi Basidiomycota Agaricomycetes Russulales Peniophoraceae Subulicystidium Subulicystidium_perlongisporum
ASV00116 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_marchalianum
ASV00117 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Funneliformis Funneliformis_mosseae
ASV00118 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00119 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00120 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporales_fam_Incertae_sedis Pseudorobillarda Pseudorobillarda_sp
ASV00121 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Mycoarthris Mycoarthris_corallina
ASV00122 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_marchalianum
ASV00123 Fungi Ascomycota Sordariomycetes Hypocreales Hypocreales_fam_Incertae_sedis Acremonium Acremonium_nepalense
ASV00124 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00125 Fungi Ascomycota Sordariomycetes unclassified unclassified unclassified unclassified
ASV00126 Fungi Ascomycota Sordariomycetes Sordariales Chaetomiaceae Chaetomium unclassified
ASV00127 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia unclassified
ASV00128 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_marchalianum
ASV00129 Fungi Basidiomycota Pucciniomycetes unclassified_Pucciniomycetes unclassified_Pucciniomycetes unclassified_Pucciniomycetes Pucciniomycetes_sp
ASV00130 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella unclassified
ASV00131 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Calycina unclassified
ASV00132 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Gibberella Gibberella_intricans
ASV00133 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00134 Fungi Ascomycota Dothideomycetes Capnodiales Mycosphaerellaceae Mycosphaerella Mycosphaerella_tassiana
ASV00135 Fungi Basidiomycota Agaricomycetes Polyporales Ganodermataceae Ganoderma unclassified
ASV00136 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Volutella Volutella_sp
ASV00137 Fungi Ascomycota Dothideomycetes Capnodiales Cladosporiaceae Cladosporium unclassified
ASV00138 Fungi Ascomycota Dothideomycetes Pleosporales Phaeosphaeriaceae Phaeosphaeria Phaeosphaeria_sp
ASV00139 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae unclassified unclassified
ASV00140 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00141 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00142 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae unclassified unclassified
ASV00143 Fungi Ascomycota Sordariomycetes Hypocreales Ophiocordycipitaceae Tolypocladium Tolypocladium_inflatum
ASV00144 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae unclassified unclassified
ASV00145 Fungi Basidiomycota Tremellomycetes Filobasidiales Filobasidiaceae Filobasidium Filobasidium_wieringae
ASV00146 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00147 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00148 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae unclassified_Ceratobasidiaceae Ceratobasidiaceae_sp
ASV00149 Fungi Ascomycota Dothideomycetes Capnodiales Cladosporiaceae Cladosporium unclassified
ASV00150 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Endophoma Endophoma_elongata
ASV00151 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00152 Fungi Basidiomycota Pucciniomycetes unclassified_Pucciniomycetes unclassified_Pucciniomycetes unclassified_Pucciniomycetes Pucciniomycetes_sp
ASV00153 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00154 Fungi Ascomycota Sordariomycetes Sordariales Chaetomiaceae Chaetomium Chaetomium_nigricolor
ASV00155 Fungi Ascomycota unclassified unclassified unclassified unclassified unclassified
ASV00156 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusarium unclassified
ASV00157 Fungi Ascomycota Orbiliomycetes Orbiliales Orbiliales_fam_Incertae_sedis Lecophagus Lecophagus_longisporus
ASV00158 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00159 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae unclassified unclassified
ASV00160 Fungi Ascomycota Pezizomycetes Pezizales Tuberaceae Tuber Tuber_borchii
ASV00161 Fungi Ascomycota Sordariomycetes Sordariales Chaetomiaceae Humicola unclassified
ASV00162 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Epicoccum unclassified
ASV00163 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_gamsii
ASV00164 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporales_fam_Incertae_sedis Pseudorobillarda Pseudorobillarda_sp
ASV00165 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae Plectosphaerella Plectosphaerella_cucumerina
ASV00166 Fungi Ascomycota Sordariomycetes Hypocreales Stachybotryaceae unclassified unclassified
ASV00167 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00168 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
