group;kingdom;phylum;class;order;family;genus;species
ASV00001;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00002;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(98);Pythium(98);unclassified
ASV00003;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00004;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00005;Eukaryota(100);Stramenopiles(100);Oomycetes(91);unclassified;unclassified;unclassified;unclassified
ASV00006;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00007;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_heterothallicum(67)
ASV00008;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(100);Peronosporales_incertae_sedis(93);Phytophthora(93);Phytophthora_citricola(76)
ASV00009;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(90);Pythium(86);unclassified
ASV00010;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(98);Pythium(98);Pythium_attrantheridium(95)
ASV00011;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(95);Pythium(95);Pythium_attrantheridium(89)
ASV00012;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00013;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);Pythium_heterothallicum(72)
ASV00014;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00015;Eukaryota(100);Stramenopiles(100);Oomycetes(78);unclassified;unclassified;unclassified;unclassified
ASV00016;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00017;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(90);Pythium(84);unclassified
ASV00018;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00019;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(99);Pythium(99);unclassified
ASV00020;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);Pythium_heterothallicum(67)
ASV00021;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00022;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00023;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00024;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00025;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00026;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00027;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(79)
ASV00028;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_rostratifingens(60)
ASV00029;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);unclassified
ASV00030;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00031;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(79)
ASV00032;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00033;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(100);Saprolegniaceae(100);Saprolegnia(100);Saprolegnia_ferax(100)
ASV00034;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00035;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(91)
ASV00036;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(86);Pythium(85);unclassified
ASV00037;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(98);Pythium(98);Pythium_attrantheridium(91)
ASV00038;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00039;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);Pythium_kandovanense(79)
ASV00040;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(99);Pythium(99);unclassified
ASV00041;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(87);Pythium(87);Pythium_intermedium(64)
ASV00042;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00043;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00044;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(86);Saprolegniaceae(86);unclassified;unclassified
ASV00045;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00046;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00047;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(81);Saprolegniaceae(81);unclassified;unclassified
ASV00048;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_rostratifingens(60)
ASV00049;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(95);Pythium(95);Pythium_attrantheridium(88)
ASV00050;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);Pythium_heterothallicum(69)
ASV00051;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00052;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(100);Peronosporales_incertae_sedis(95);Phytophthora(95);Phytophthora_citricola(79)
ASV00053;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(93);Pythium(93);Pythium_intermedium(68)
ASV00054;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(77)
ASV00055;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00056;Eukaryota(100);Stramenopiles(100);Oomycetes(91);unclassified;unclassified;unclassified;unclassified
ASV00057;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_heterothallicum(75)
ASV00058;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(97);Pythiaceae(97);Pythium(97);unclassified
ASV00059;Eukaryota(99);Stramenopiles(99);Oomycetes(92);Peronosporales(68);Peronosporaceae(68);unclassified;unclassified
ASV00060;Eukaryota(100);Stramenopiles(100);Oomycetes(90);unclassified;unclassified;unclassified;unclassified
ASV00061;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(94);Pythiaceae(94);Pythium(93);unclassified
ASV00062;Eukaryota(100);Stramenopiles(100);Oomycetes(95);unclassified;unclassified;unclassified;unclassified
ASV00063;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00064;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(81);Saprolegniaceae(81);unclassified;unclassified
ASV00065;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00066;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00067;Eukaryota(100);Stramenopiles(100);Oomycetes(94);unclassified;unclassified;unclassified;unclassified
ASV00068;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00069;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00070;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00071;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(100);Peronosporales_incertae_sedis(95);Phytophthora(95);Phytophthora_citricola(76)
ASV00072;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(94);Pythiaceae(94);Pythium(94);unclassified
ASV00073;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(97);Pythium(89);unclassified
ASV00074;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(88);Pythium(88);Pythium_intermedium(63)
ASV00075;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00076;Eukaryota(100);Stramenopiles(100);Oomycetes(96);unclassified;unclassified;unclassified;unclassified
ASV00077;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(90);Pythiaceae(90);Pythium(90);unclassified
ASV00078;Eukaryota(100);Stramenopiles(100);Oomycetes(96);unclassified;unclassified;unclassified;unclassified
ASV00079;Eukaryota(100);Stramenopiles(100);Oomycetes(88);unclassified;unclassified;unclassified;unclassified
ASV00080;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
