"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU00001";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_sp"
"FU00002";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"unclassified"
"FU00003";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00004";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Endophoma";"Endophoma_sp"
"FU00005";"Fungi";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Cystofilobasidiaceae";"Guehomyces";"Guehomyces_sp"
"FU00006";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"unclassified_Olpidiales";"unclassified_Olpidiales";"unclassified_Olpidiales"
"FU00007";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_sp"
"FU00008";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_elongata"
"FU00009";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"Calycina_sp"
"FU00010";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Thanatephorus";"Thanatephorus_sp"
"FU00011";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00012";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma";"Paraphoma_sp"
"FU00013";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"unclassified"
"FU00014";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales"
"FU00015";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00016";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Neonectria";"Neonectria_sp"
"FU00017";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria";"Ilyonectria_sp"
"FU00018";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"unclassified"
"FU00019";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"unclassified_Nectriaceae";"unclassified_Nectriaceae"
"FU00020";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00021";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00022";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00023";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
