group;kingdom;phylum;class;order;family;genus;species
ASV00001;Fungi(100);Olpidiomycota(100);Olpidiomycetes(100);Olpidiales(100);Olpidiaceae(97);Olpidium(97);Olpidium_brassicae(97)
ASV00002;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(97);Tetracladium(97);unclassified
ASV00003;Fungi(100);Olpidiomycota(99);Olpidiomycetes(99);Olpidiales(99);Olpidiaceae(95);Olpidium(95);Olpidium_brassicae(95)
ASV00004;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);Endophoma(97);Endophoma_elongata(97)
ASV00005;Fungi(100);Basidiomycota(100);Tremellomycetes(100);Cystofilobasidiales(100);Cystofilobasidiaceae(100);Guehomyces(100);Guehomyces_pullulans(100)
ASV00006;Fungi(100);Olpidiomycota(94);Olpidiomycetes(94);Olpidiales(94);unclassified;unclassified;unclassified
ASV00007;Fungi(100);Mortierellomycota(100);Mortierellomycetes(100);Mortierellales(100);Mortierellaceae(100);Mortierella(100);Mortierella_elongata(98)
ASV00008;Fungi(100);Mortierellomycota(100);Mortierellomycetes(100);Mortierellales(100);Mortierellaceae(100);Mortierella(100);Mortierella_elongata(90)
ASV00009;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Hyaloscyphaceae(86);Calycina(85);Calycina_ellisii(76)
ASV00010;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Cantharellales(100);Ceratobasidiaceae(100);Thanatephorus(65);Thanatephorus_cucumeris(65)
ASV00011;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00012;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Phaeosphaeriaceae(100);Paraphoma(100);Paraphoma_sp(100)
ASV00013;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(97);Tetracladium(96);unclassified
ASV00014;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);unclassified_Pleosporales(68);unclassified_Pleosporales(68);Pleosporales_sp(68)
ASV00015;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(98);Tetracladium(98);Tetracladium_marchalianum(94)
ASV00016;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(99);Neonectria(89);Neonectria_candida(87)
ASV00017;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);Ilyonectria(98);Ilyonectria_macrodidyma(98)
ASV00018;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Hyaloscyphaceae(86);Calycina(86);unclassified
ASV00019;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);unclassified;unclassified
ASV00020;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00021;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);unclassified;unclassified;unclassified
ASV00022;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00023;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);unclassified;unclassified
ASV00024;Fungi(100);Olpidiomycota(100);Olpidiomycetes(100);Olpidiales(100);Olpidiaceae(92);Olpidium(92);Olpidium_brassicae(92)
ASV00025;Fungi(100);Mortierellomycota(100);Mortierellomycetes(100);Mortierellales(100);Mortierellaceae(100);Mortierella(100);Mortierella_elongata(85)
ASV00026;Fungi(100);Ascomycota(100);Sordariomycetes(100);Glomerellales(100);Plectosphaerellaceae(100);Plectosphaerella(100);Plectosphaerella_cucumerina(98)
ASV00027;Fungi(100);Mortierellomycota(100);Mortierellomycetes(100);Mortierellales(100);Mortierellaceae(100);Mortierella(100);Mortierella_exigua(95)
ASV00028;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);Stagonosporopsis(96);unclassified
ASV00029;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);unclassified;unclassified
